"GOOD HEALTH MEDICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        QUAZI BAGH MARKET,NEAR RAM MANDIR GOLA BAZAR SHERGHATI GAYA-824211",,,,,,,,,,,,,,,
STOCK REPORT AS ON DATE 23-07-2026,,,,,,,,,,,,,,,
Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.
,,,,Deal,Free,Deal,Free,,,,,,,,
ZZZ3054,AMARYL MV 2MG TAB 1*15TAB.,TAB,8,0,0,0,0,200.253,1602.02,266.29,202.89,0,SANOFI AVENTIS.,,A008
FOUAMS601,AMBCET SYRUP. 60ML,Pcs,8,0,0,0,0,62.7433,501.95,83.44,63.57,0,FOURRTS (INDIA),,
ARIAMD101,AMBRODIL DROP 15 ML,Pcs,4,0,0,0,0,31.55,126.2,44.53,33.93,0,ARISTO,,
HIFEN335,AMBRODIL LS SYP 100ML,PCS,7,0,0,5,1,63.065,441.46,101.72,77.5,0,ARISTO PHARMACEUTICALS MF-3,,
MICRO819,AMBRODIL LS SYRUP 100ML 100ML,TAB.,1,0,0,0,0,46.7367,46.74,62.81,47.86,0,ARISTO,,
ZZZ10572,AMBRODIL PLUS RF SYP 1X100ML,TAB.,1,0,0,9,1,67.164,67.16,100.31,76.42,0,ABBOTT,,
ZZZ10707,AMBRODIL S 100ML 1,TAB.,6,0,0,0,0,24.4817,146.89,40,25.07,0,DR.MOREPEN,,
TAIAMS103,AMBROLITE D SUSP 100ML,PCS,3,0,0,0,0,97.99,293.97,130.31,99.28,0,TABLETS INDIA,,
CADAM5101,AMDEPIN 5MG TAB 1*15TAB,TAB,6,0,0,0,0,30.4035,182.42,40,30.48,0,CADILA,,A002
000182,AMETO-G4 1*10,TAB.,3,0,0,0,0,159.25,477.75,188.44,143.57,0,INDCHEMIE HEALTH PRIMUS,,A020
00000529,AMIJECT-500INJ 2ML,TAB.,3,0,0,0,0,40,120,115,40,0,ALKEM (BERGEN),,
INTAM1101,AMITONE 10MG TAB 1*10TAB,TAB,7,0,0,0,0,15.332,107.32,20.61,15.7,0,INTAS,,A007
INTAM2101,AMITONE 25MG TAB 1*10TAB,TAB,10,0,0,0,0,19.765,197.65,26.57,20.24,0,INTAS,,A007
INTAMP101,AMITONE PLUS TAB 1*10TAB,TAB,6,0,0,0,0,37.947,227.68,51,38.86,0,INTAS,,A003
KCLAM1101,AMITRYN 10MG TAB 1*10TAB,TAB,2.1,0,0,0,0,20.13,42.27,25.22,20.18,0,K.C. LAB,,A003
000521,AMIXIDE H TAB 1*10TAB,TAB,6,0,0,0,0,47.238,283.43,62.81,47.86,0,SUN,,A003
SUNAMT101,AMIXIDE TAB 1*10TAB,TAB,1,0,0,0,0,58.51,58.51,77.81,59.28,0,SUN,,A007
